10,0,5,1,2,2,0,3,88,0,1,0,4,33,6,19,7
0,0,1,0,0,1,0,3,7,0,0,0,0,0,4,7,0
5,13,53,0,30,10,1,27,474,0,24,0,15,282,51,85,56
0,0,1,0,0,1,0,0,53,0,0,0,0,21,4,1,0
0,6,16,2,118,17,4,23,540,0,14,0,29,215,58,52,39
2,18,17,1,35,62,1,19,295,0,7,0,29,114,80,71,27
0,0,1,0,0,2,4,5,36,0,0,0,1,21,6,24,1
0,17,27,2,21,16,1,553,726,0,24,0,18,318,66,123,69
49,346,531,26,595,310,61,899,14955,0,445,9,557,5560,885,4493,895
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,9,20,1,16,17,2,13,388,0,44,0,18,212,46,81,49
0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0
2,11,20,0,24,23,2,17,444,0,11,0,89,159,53,59,28
16,160,292,13,266,122,27,382,5577,0,282,4,219,4744,485,1854,520
3,84,60,1,58,63,9,74,841,1,39,1,67,382,512,180,110
3,61,11,1,10,9,1,16,508,0,7,0,11,237,19,290,25
6,30,50,2,45,18,5,78,679,1,49,2,40,473,91,160,158
