Borough,tractID,pop2010,popDens2010
Bronx,025700,"1,912",35.6
Bronx,026100,"1,932",49.2
Bronx,026300,"6,984",45.1
Bronx,026400,"4,935",177.9
Bronx,026500,"6,942",46.9
Bronx,026601,"2,911",140.5
Bronx,026602,"5,301",70.0
Bronx,026701,"4,037",70.3
Bronx,026702,"7,040",228.9
Bronx,026900,"3,777",172.1
Bronx,027300,"7,942",39.7
Bronx,027401,"4,785",150.7
Bronx,027402,"3,386",27.5
Bronx,027600,473,28.2
Bronx,027700,"5,065",1.3
Bronx,027900,"6,966",119.2
Bronx,028100,"3,794",106.5
Bronx,028300,"3,149",119.2
Bronx,028400,894,53.6
Bronx,028500,"3,307",3.2
Bronx,028600,"1,191",50.4
Bronx,028700,"3,178",25.1
Bronx,028800,"3,097",82.8
Bronx,028900,"4,502",37.3
Bronx,029301,"1,875",91.9
Bronx,029302,"5,052",26.2
Bronx,029500,"4,240",48.2
Bronx,029600,"2,549",73.6
Bronx,029700,"3,554",14.2
Bronx,030000,"5,838",59.8
Bronx,030100,"1,304",56.9
Bronx,030200,"8,887",36.6
Bronx,030701,"5,378",81.0
Bronx,030900,"3,891",55.8
Bronx,031000,"4,415",11.5
Bronx,031200,"1,524",28.2
Bronx,031400,"1,966",30.4
Bronx,031600,"1,863",37.8
Bronx,031800,"1,810",42.6
Bronx,031900,751,41.1
Bronx,032300,"4,904",14.3
Bronx,032400,"2,957",35.9
Bronx,032600,"3,154",44.6
Bronx,032800,"3,979",38.5
Bronx,033000,"5,696",78.7
Bronx,033201,"4,115",111.8
Bronx,033202,"4,167",146.0
Bronx,033400,"1,351",146.4
Bronx,033500,"2,178",1.8
Bronx,033600,"6,188",12.7
Bronx,033700,"2,357",135.8
Bronx,033800,"3,818",22.0
Bronx,034000,"4,618",95.7
Bronx,034200,"1,675",118.0
Bronx,034300,"1,649",43.2
Bronx,034400,"1,736",55.0
Bronx,034500,"3,566",44.7
Bronx,034800,"6,129",53.1
Bronx,035000,"1,925",56.7
Bronx,035100,"3,186",40.7
Bronx,035600,"2,027",22.9
Bronx,035800,"7,166",20.5
Bronx,035900,"2,061",44.4
Bronx,036000,"2,706",66.1
Bronx,036100,"6,019",41.1
Bronx,036300,"7,509",150.1
Bronx,036400,"2,557",136.3
Bronx,036501,"3,965",51.2
Bronx,036502,"2,423",170.2
Bronx,036700,"2,599",99.9
Bronx,036800,"2,011",113.3
Bronx,036901,"2,005",48.0
Bronx,036902,"2,119",86.6
Bronx,037000,"2,303",125.7
Bronx,037100,"4,241",58.7
Bronx,037200,"2,222",86.6
Bronx,037300,"5,318",48.2
